eval_id,task_id,run_id,benchmark_id,model_id,judge_backend,judge_model,judge_prompt,expected_date,original_value
1046,3281,2,3,15,playground,gemini-2.5-flash,date_fix_v1,May 26 2002,"Sunday, May 26, 2002"
1047,1486,1,3,1,playground,gemini-2.5-flash,date_fix_v1,October 11 2016,"October 11, 2016"
1048,1550,1,3,3,playground,gemini-2.5-flash,date_fix_v1,June 9 2013,2013-06-09
1049,1890,0,3,13,playground,gemini-2.5-flash,date_fix_v1,December 20 2000,2000-12-20
1050,3356,1,3,17,playground,gemini-2.5-flash,date_fix_v1,April 2 2011,"April 2, 2011"
1051,1471,1,3,1,playground,gemini-2.5-flash,date_fix_v1,August 9 2014,"August 9, 2014"
1052,3347,2,3,17,playground,gemini-2.5-flash,date_fix_v1,June 2 1998,"June 2, 1998"
1053,1944,2,3,14,playground,gemini-2.5-flash,date_fix_v1,November 13 1998,"November 13, 1998"
1054,1803,1,3,10,playground,gemini-2.5-flash,date_fix_v1,January 21 1999,"January 21, 1999"
1055,1659,0,3,6,playground,gemini-2.5-flash,date_fix_v1,October 15 2007,"Monday, Oct. 15, 2007"
1056,1787,2,3,10,playground,gemini-2.5-flash,date_fix_v1,February 22 2015,"Sun, Feb 22, 2015"
1057,1524,1,3,2,playground,gemini-2.5-flash,date_fix_v1,November 13 1998,"November 13, 1998"
1058,1621,2,3,5,playground,gemini-2.5-flash,date_fix_v1,March 16 2012,"Friday, March 16, 2012"
1059,3312,1,3,16,playground,gemini-2.5-flash,date_fix_v1,June 2 1998,1998-06-02
1060,1636,2,3,5,playground,gemini-2.5-flash,date_fix_v1,May 26 2002,2002-05-26
1061,1644,2,3,5,playground,gemini-2.5-flash,date_fix_v1,November 17 to 21 1997,"Sunday, November 16 — Saturday, November 22, 1997"
1062,1608,2,3,4,playground,gemini-2.5-flash,date_fix_v1,June 30-4 1997,"Sunday, June 29 - Saturday, July 5, 1997"
1063,3318,0,3,16,playground,gemini-2.5-flash,date_fix_v1,April 4-8 2005,2005-04-03
1064,1924,0,3,13,playground,gemini-2.5-flash,date_fix_v1,November 17 to 21 1997,1997-11-16
1065,1573,0,3,3,playground,gemini-2.5-flash,date_fix_v1,June 30-4 1997,1997-06-29
1066,1568,2,3,3,playground,gemini-2.5-flash,date_fix_v1,April 4-8 2005,"April 5, 2005"
