task_id,benchmark_id,benchmark_name,model_id,model_name,image_id,image_name
95,0,newspaper_name,3,gpt-4o,25,The_Honolulu_Advertiser_Sun__Mar_9__2003_ (2).png
96,0,newspaper_name,3,gpt-4o,26,The_Honolulu_Advertiser_Sun__May_26__2002_ (1).png
97,0,newspaper_name,3,gpt-4o,27,The_Honolulu_Advertiser_Sun__Sep_28__1997_ (16).png
98,0,newspaper_name,3,gpt-4o,28,The_Kansas_City_Star_Sun__Apr_3__2005_ (2).png
99,0,newspaper_name,3,gpt-4o,29,The_Kansas_City_Star_Sun__Sep_15__2002_ (2).png
100,0,newspaper_name,3,gpt-4o,30,The_Monitor_Sun__Nov_6__1994_ (8).png
101,0,newspaper_name,3,gpt-4o,31,The_News_Tribune_Sun__Mar_27__2011_ (17).png
102,0,newspaper_name,3,gpt-4o,32,The_Palm_Beach_Post_Sun__May_22__1994_ (60).png
103,0,newspaper_name,3,gpt-4o,33,The_Sentinel_Sun__Jun_29__1997_ (2).png
104,0,newspaper_name,3,gpt-4o,34,The_Sentinel_Sun__Nov_16__1997_.png
105,0,newspaper_name,4,gpt-4.1,0,Arizona_Republic_Sun__Dec_17__2000_ (15).png
106,0,newspaper_name,4,gpt-4.1,1,Austin_American_Statesman_Sun__Aug_3__2014_ (10).png
107,0,newspaper_name,4,gpt-4.1,2,Austin_American_Statesman_Sun__Feb_22__2015_ (1).png
108,0,newspaper_name,4,gpt-4.1,3,Austin_American_Statesman_Sun__Jan_12__2014_ (10).png
109,0,newspaper_name,4,gpt-4.1,4,Austin_American_Statesman_Sun__Nov_23__2014_ (11).png
110,0,newspaper_name,4,gpt-4.1,5,Chicago_Tribune_Sun__May_28__1995_ (30).png
111,0,newspaper_name,4,gpt-4.1,6,Chicago_Tribune_Sun__Oct_30__1994_ (29).png
112,0,newspaper_name,4,gpt-4.1,7,Daily_News_Sun__Apr_13__2008_ (6).png
113,0,newspaper_name,4,gpt-4.1,8,Daily_News_Sun__Apr_25__2010_ (11).png
114,0,newspaper_name,4,gpt-4.1,9,Daily_News_Sun__Jun_17__2012_ (2).png
115,0,newspaper_name,4,gpt-4.1,10,Daily_News_Sun__Jun_9__2013_.png
116,0,newspaper_name,4,gpt-4.1,11,Daily_News_Sun__Mar_11__2012_ (17).png
117,0,newspaper_name,4,gpt-4.1,12,Daily_News_Sun__Mar_30__2014_ (2).png
118,0,newspaper_name,4,gpt-4.1,13,Daily_News_Sun__May_15__2016_ (12).png
119,0,newspaper_name,4,gpt-4.1,14,Daily_News_Sun__Oct_14__2007_ (8).png
120,0,newspaper_name,4,gpt-4.1,15,Daily_News_Sun__Oct_18__2009_ (33).png
121,0,newspaper_name,4,gpt-4.1,16,Honolulu_Star_Advertiser_Sun__Oct_9__2016_ (4).png
122,0,newspaper_name,4,gpt-4.1,17,Messenger_Inquirer_Sun__Oct_12__1997_ (5).png
123,0,newspaper_name,4,gpt-4.1,18,Statesman_Journal_Sun__Jan_17__1999_ (22).png
124,0,newspaper_name,4,gpt-4.1,19,Statesman_Journal_Sun__Nov_8__1998_ (24).png
125,0,newspaper_name,4,gpt-4.1,20,Statesman_Journal_Sun__Sep_5__1999_ (16).png
126,0,newspaper_name,4,gpt-4.1,21,The_Arizona_Republic_Sun__Mar_5__2000_ (32).png
127,0,newspaper_name,4,gpt-4.1,22,The_Californian_Sun__May_31__1998_ (7).png
128,0,newspaper_name,4,gpt-4.1,23,The_Honolulu_Advertiser_Sun__Feb_9__1997_ (11).png
129,0,newspaper_name,4,gpt-4.1,24,The_Honolulu_Advertiser_Sun__Mar_21__2004_ (15).png
130,0,newspaper_name,4,gpt-4.1,25,The_Honolulu_Advertiser_Sun__Mar_9__2003_ (2).png
131,0,newspaper_name,4,gpt-4.1,26,The_Honolulu_Advertiser_Sun__May_26__2002_ (1).png
132,0,newspaper_name,4,gpt-4.1,27,The_Honolulu_Advertiser_Sun__Sep_28__1997_ (16).png
133,0,newspaper_name,4,gpt-4.1,28,The_Kansas_City_Star_Sun__Apr_3__2005_ (2).png
134,0,newspaper_name,4,gpt-4.1,29,The_Kansas_City_Star_Sun__Sep_15__2002_ (2).png
135,0,newspaper_name,4,gpt-4.1,30,The_Monitor_Sun__Nov_6__1994_ (8).png
136,0,newspaper_name,4,gpt-4.1,31,The_News_Tribune_Sun__Mar_27__2011_ (17).png
137,0,newspaper_name,4,gpt-4.1,32,The_Palm_Beach_Post_Sun__May_22__1994_ (60).png
138,0,newspaper_name,4,gpt-4.1,33,The_Sentinel_Sun__Jun_29__1997_ (2).png
139,0,newspaper_name,4,gpt-4.1,34,The_Sentinel_Sun__Nov_16__1997_.png
140,0,newspaper_name,5,gpt-5,0,Arizona_Republic_Sun__Dec_17__2000_ (15).png
141,0,newspaper_name,5,gpt-5,1,Austin_American_Statesman_Sun__Aug_3__2014_ (10).png
142,0,newspaper_name,5,gpt-5,2,Austin_American_Statesman_Sun__Feb_22__2015_ (1).png
143,0,newspaper_name,5,gpt-5,3,Austin_American_Statesman_Sun__Jan_12__2014_ (10).png
144,0,newspaper_name,5,gpt-5,4,Austin_American_Statesman_Sun__Nov_23__2014_ (11).png
145,0,newspaper_name,5,gpt-5,5,Chicago_Tribune_Sun__May_28__1995_ (30).png
146,0,newspaper_name,5,gpt-5,6,Chicago_Tribune_Sun__Oct_30__1994_ (29).png
147,0,newspaper_name,5,gpt-5,7,Daily_News_Sun__Apr_13__2008_ (6).png
148,0,newspaper_name,5,gpt-5,8,Daily_News_Sun__Apr_25__2010_ (11).png
149,0,newspaper_name,5,gpt-5,9,Daily_News_Sun__Jun_17__2012_ (2).png
150,0,newspaper_name,5,gpt-5,10,Daily_News_Sun__Jun_9__2013_.png
151,0,newspaper_name,5,gpt-5,11,Daily_News_Sun__Mar_11__2012_ (17).png
152,0,newspaper_name,5,gpt-5,12,Daily_News_Sun__Mar_30__2014_ (2).png
153,0,newspaper_name,5,gpt-5,13,Daily_News_Sun__May_15__2016_ (12).png
154,0,newspaper_name,5,gpt-5,14,Daily_News_Sun__Oct_14__2007_ (8).png
155,0,newspaper_name,5,gpt-5,15,Daily_News_Sun__Oct_18__2009_ (33).png
156,0,newspaper_name,5,gpt-5,16,Honolulu_Star_Advertiser_Sun__Oct_9__2016_ (4).png
157,0,newspaper_name,5,gpt-5,17,Messenger_Inquirer_Sun__Oct_12__1997_ (5).png
158,0,newspaper_name,5,gpt-5,18,Statesman_Journal_Sun__Jan_17__1999_ (22).png
159,0,newspaper_name,5,gpt-5,19,Statesman_Journal_Sun__Nov_8__1998_ (24).png
160,0,newspaper_name,5,gpt-5,20,Statesman_Journal_Sun__Sep_5__1999_ (16).png
161,0,newspaper_name,5,gpt-5,21,The_Arizona_Republic_Sun__Mar_5__2000_ (32).png
162,0,newspaper_name,5,gpt-5,22,The_Californian_Sun__May_31__1998_ (7).png
163,0,newspaper_name,5,gpt-5,23,The_Honolulu_Advertiser_Sun__Feb_9__1997_ (11).png
164,0,newspaper_name,5,gpt-5,24,The_Honolulu_Advertiser_Sun__Mar_21__2004_ (15).png
165,0,newspaper_name,5,gpt-5,25,The_Honolulu_Advertiser_Sun__Mar_9__2003_ (2).png
166,0,newspaper_name,5,gpt-5,26,The_Honolulu_Advertiser_Sun__May_26__2002_ (1).png
167,0,newspaper_name,5,gpt-5,27,The_Honolulu_Advertiser_Sun__Sep_28__1997_ (16).png
168,0,newspaper_name,5,gpt-5,28,The_Kansas_City_Star_Sun__Apr_3__2005_ (2).png
169,0,newspaper_name,5,gpt-5,29,The_Kansas_City_Star_Sun__Sep_15__2002_ (2).png
170,0,newspaper_name,5,gpt-5,30,The_Monitor_Sun__Nov_6__1994_ (8).png
171,0,newspaper_name,5,gpt-5,31,The_News_Tribune_Sun__Mar_27__2011_ (17).png
172,0,newspaper_name,5,gpt-5,32,The_Palm_Beach_Post_Sun__May_22__1994_ (60).png
173,0,newspaper_name,5,gpt-5,33,The_Sentinel_Sun__Jun_29__1997_ (2).png
174,0,newspaper_name,5,gpt-5,34,The_Sentinel_Sun__Nov_16__1997_.png
175,0,newspaper_name,6,gpt-5-mini,0,Arizona_Republic_Sun__Dec_17__2000_ (15).png
176,0,newspaper_name,6,gpt-5-mini,1,Austin_American_Statesman_Sun__Aug_3__2014_ (10).png
177,0,newspaper_name,6,gpt-5-mini,2,Austin_American_Statesman_Sun__Feb_22__2015_ (1).png
178,0,newspaper_name,6,gpt-5-mini,3,Austin_American_Statesman_Sun__Jan_12__2014_ (10).png
179,0,newspaper_name,6,gpt-5-mini,4,Austin_American_Statesman_Sun__Nov_23__2014_ (11).png
180,0,newspaper_name,6,gpt-5-mini,5,Chicago_Tribune_Sun__May_28__1995_ (30).png
181,0,newspaper_name,6,gpt-5-mini,6,Chicago_Tribune_Sun__Oct_30__1994_ (29).png
182,0,newspaper_name,6,gpt-5-mini,7,Daily_News_Sun__Apr_13__2008_ (6).png
183,0,newspaper_name,6,gpt-5-mini,8,Daily_News_Sun__Apr_25__2010_ (11).png
184,0,newspaper_name,6,gpt-5-mini,9,Daily_News_Sun__Jun_17__2012_ (2).png
185,0,newspaper_name,6,gpt-5-mini,10,Daily_News_Sun__Jun_9__2013_.png
186,0,newspaper_name,6,gpt-5-mini,11,Daily_News_Sun__Mar_11__2012_ (17).png
187,0,newspaper_name,6,gpt-5-mini,12,Daily_News_Sun__Mar_30__2014_ (2).png
188,0,newspaper_name,6,gpt-5-mini,13,Daily_News_Sun__May_15__2016_ (12).png
189,0,newspaper_name,6,gpt-5-mini,14,Daily_News_Sun__Oct_14__2007_ (8).png
190,0,newspaper_name,6,gpt-5-mini,15,Daily_News_Sun__Oct_18__2009_ (33).png
191,0,newspaper_name,6,gpt-5-mini,16,Honolulu_Star_Advertiser_Sun__Oct_9__2016_ (4).png
192,0,newspaper_name,6,gpt-5-mini,17,Messenger_Inquirer_Sun__Oct_12__1997_ (5).png
193,0,newspaper_name,6,gpt-5-mini,18,Statesman_Journal_Sun__Jan_17__1999_ (22).png
194,0,newspaper_name,6,gpt-5-mini,19,Statesman_Journal_Sun__Nov_8__1998_ (24).png
195,0,newspaper_name,6,gpt-5-mini,20,Statesman_Journal_Sun__Sep_5__1999_ (16).png
196,0,newspaper_name,6,gpt-5-mini,21,The_Arizona_Republic_Sun__Mar_5__2000_ (32).png
197,0,newspaper_name,6,gpt-5-mini,22,The_Californian_Sun__May_31__1998_ (7).png
198,0,newspaper_name,6,gpt-5-mini,23,The_Honolulu_Advertiser_Sun__Feb_9__1997_ (11).png
199,0,newspaper_name,6,gpt-5-mini,24,The_Honolulu_Advertiser_Sun__Mar_21__2004_ (15).png
200,0,newspaper_name,6,gpt-5-mini,25,The_Honolulu_Advertiser_Sun__Mar_9__2003_ (2).png
201,0,newspaper_name,6,gpt-5-mini,26,The_Honolulu_Advertiser_Sun__May_26__2002_ (1).png
202,0,newspaper_name,6,gpt-5-mini,27,The_Honolulu_Advertiser_Sun__Sep_28__1997_ (16).png
203,0,newspaper_name,6,gpt-5-mini,28,The_Kansas_City_Star_Sun__Apr_3__2005_ (2).png
204,0,newspaper_name,6,gpt-5-mini,29,The_Kansas_City_Star_Sun__Sep_15__2002_ (2).png
205,0,newspaper_name,6,gpt-5-mini,30,The_Monitor_Sun__Nov_6__1994_ (8).png
206,0,newspaper_name,6,gpt-5-mini,31,The_News_Tribune_Sun__Mar_27__2011_ (17).png
207,0,newspaper_name,6,gpt-5-mini,32,The_Palm_Beach_Post_Sun__May_22__1994_ (60).png
208,0,newspaper_name,6,gpt-5-mini,33,The_Sentinel_Sun__Jun_29__1997_ (2).png
209,0,newspaper_name,6,gpt-5-mini,34,The_Sentinel_Sun__Nov_16__1997_.png
210,0,newspaper_name,7,claude-3-haiku,0,Arizona_Republic_Sun__Dec_17__2000_ (15).png
211,0,newspaper_name,7,claude-3-haiku,1,Austin_American_Statesman_Sun__Aug_3__2014_ (10).png
212,0,newspaper_name,7,claude-3-haiku,2,Austin_American_Statesman_Sun__Feb_22__2015_ (1).png
213,0,newspaper_name,7,claude-3-haiku,3,Austin_American_Statesman_Sun__Jan_12__2014_ (10).png
214,0,newspaper_name,7,claude-3-haiku,4,Austin_American_Statesman_Sun__Nov_23__2014_ (11).png
215,0,newspaper_name,7,claude-3-haiku,5,Chicago_Tribune_Sun__May_28__1995_ (30).png
216,0,newspaper_name,7,claude-3-haiku,6,Chicago_Tribune_Sun__Oct_30__1994_ (29).png
217,0,newspaper_name,7,claude-3-haiku,7,Daily_News_Sun__Apr_13__2008_ (6).png
218,0,newspaper_name,7,claude-3-haiku,8,Daily_News_Sun__Apr_25__2010_ (11).png
219,0,newspaper_name,7,claude-3-haiku,9,Daily_News_Sun__Jun_17__2012_ (2).png
220,0,newspaper_name,7,claude-3-haiku,10,Daily_News_Sun__Jun_9__2013_.png
221,0,newspaper_name,7,claude-3-haiku,11,Daily_News_Sun__Mar_11__2012_ (17).png
222,0,newspaper_name,7,claude-3-haiku,12,Daily_News_Sun__Mar_30__2014_ (2).png
223,0,newspaper_name,7,claude-3-haiku,13,Daily_News_Sun__May_15__2016_ (12).png
224,0,newspaper_name,7,claude-3-haiku,14,Daily_News_Sun__Oct_14__2007_ (8).png
225,0,newspaper_name,7,claude-3-haiku,15,Daily_News_Sun__Oct_18__2009_ (33).png
226,0,newspaper_name,7,claude-3-haiku,16,Honolulu_Star_Advertiser_Sun__Oct_9__2016_ (4).png
227,0,newspaper_name,7,claude-3-haiku,17,Messenger_Inquirer_Sun__Oct_12__1997_ (5).png
228,0,newspaper_name,7,claude-3-haiku,18,Statesman_Journal_Sun__Jan_17__1999_ (22).png
229,0,newspaper_name,7,claude-3-haiku,19,Statesman_Journal_Sun__Nov_8__1998_ (24).png
230,0,newspaper_name,7,claude-3-haiku,20,Statesman_Journal_Sun__Sep_5__1999_ (16).png
231,0,newspaper_name,7,claude-3-haiku,21,The_Arizona_Republic_Sun__Mar_5__2000_ (32).png
232,0,newspaper_name,7,claude-3-haiku,22,The_Californian_Sun__May_31__1998_ (7).png
233,0,newspaper_name,7,claude-3-haiku,23,The_Honolulu_Advertiser_Sun__Feb_9__1997_ (11).png
234,0,newspaper_name,7,claude-3-haiku,24,The_Honolulu_Advertiser_Sun__Mar_21__2004_ (15).png
235,0,newspaper_name,7,claude-3-haiku,25,The_Honolulu_Advertiser_Sun__Mar_9__2003_ (2).png
236,0,newspaper_name,7,claude-3-haiku,26,The_Honolulu_Advertiser_Sun__May_26__2002_ (1).png
237,0,newspaper_name,7,claude-3-haiku,27,The_Honolulu_Advertiser_Sun__Sep_28__1997_ (16).png
238,0,newspaper_name,7,claude-3-haiku,28,The_Kansas_City_Star_Sun__Apr_3__2005_ (2).png
239,0,newspaper_name,7,claude-3-haiku,29,The_Kansas_City_Star_Sun__Sep_15__2002_ (2).png
240,0,newspaper_name,7,claude-3-haiku,30,The_Monitor_Sun__Nov_6__1994_ (8).png
241,0,newspaper_name,7,claude-3-haiku,31,The_News_Tribune_Sun__Mar_27__2011_ (17).png
242,0,newspaper_name,7,claude-3-haiku,32,The_Palm_Beach_Post_Sun__May_22__1994_ (60).png
243,0,newspaper_name,7,claude-3-haiku,33,The_Sentinel_Sun__Jun_29__1997_ (2).png
244,0,newspaper_name,7,claude-3-haiku,34,The_Sentinel_Sun__Nov_16__1997_.png
245,0,newspaper_name,8,claude-3-5-sonnet,0,Arizona_Republic_Sun__Dec_17__2000_ (15).png
246,0,newspaper_name,8,claude-3-5-sonnet,1,Austin_American_Statesman_Sun__Aug_3__2014_ (10).png
247,0,newspaper_name,8,claude-3-5-sonnet,2,Austin_American_Statesman_Sun__Feb_22__2015_ (1).png
248,0,newspaper_name,8,claude-3-5-sonnet,3,Austin_American_Statesman_Sun__Jan_12__2014_ (10).png
249,0,newspaper_name,8,claude-3-5-sonnet,4,Austin_American_Statesman_Sun__Nov_23__2014_ (11).png
250,0,newspaper_name,8,claude-3-5-sonnet,5,Chicago_Tribune_Sun__May_28__1995_ (30).png
251,0,newspaper_name,8,claude-3-5-sonnet,6,Chicago_Tribune_Sun__Oct_30__1994_ (29).png
252,0,newspaper_name,8,claude-3-5-sonnet,7,Daily_News_Sun__Apr_13__2008_ (6).png
253,0,newspaper_name,8,claude-3-5-sonnet,8,Daily_News_Sun__Apr_25__2010_ (11).png
254,0,newspaper_name,8,claude-3-5-sonnet,9,Daily_News_Sun__Jun_17__2012_ (2).png
255,0,newspaper_name,8,claude-3-5-sonnet,10,Daily_News_Sun__Jun_9__2013_.png
256,0,newspaper_name,8,claude-3-5-sonnet,11,Daily_News_Sun__Mar_11__2012_ (17).png
257,0,newspaper_name,8,claude-3-5-sonnet,12,Daily_News_Sun__Mar_30__2014_ (2).png
258,0,newspaper_name,8,claude-3-5-sonnet,13,Daily_News_Sun__May_15__2016_ (12).png
259,0,newspaper_name,8,claude-3-5-sonnet,14,Daily_News_Sun__Oct_14__2007_ (8).png
260,0,newspaper_name,8,claude-3-5-sonnet,15,Daily_News_Sun__Oct_18__2009_ (33).png
261,0,newspaper_name,8,claude-3-5-sonnet,16,Honolulu_Star_Advertiser_Sun__Oct_9__2016_ (4).png
262,0,newspaper_name,8,claude-3-5-sonnet,17,Messenger_Inquirer_Sun__Oct_12__1997_ (5).png
263,0,newspaper_name,8,claude-3-5-sonnet,18,Statesman_Journal_Sun__Jan_17__1999_ (22).png
264,0,newspaper_name,8,claude-3-5-sonnet,19,Statesman_Journal_Sun__Nov_8__1998_ (24).png
265,0,newspaper_name,8,claude-3-5-sonnet,20,Statesman_Journal_Sun__Sep_5__1999_ (16).png
266,0,newspaper_name,8,claude-3-5-sonnet,21,The_Arizona_Republic_Sun__Mar_5__2000_ (32).png
267,0,newspaper_name,8,claude-3-5-sonnet,22,The_Californian_Sun__May_31__1998_ (7).png
268,0,newspaper_name,8,claude-3-5-sonnet,23,The_Honolulu_Advertiser_Sun__Feb_9__1997_ (11).png
269,0,newspaper_name,8,claude-3-5-sonnet,24,The_Honolulu_Advertiser_Sun__Mar_21__2004_ (15).png
270,0,newspaper_name,8,claude-3-5-sonnet,25,The_Honolulu_Advertiser_Sun__Mar_9__2003_ (2).png
